STN---;YEARMODA;TEMP;DEWP;VISIB;;WDSP;;MXSPD;GUST;MAX;MIN;PRCP;SNDP;FRSHTT
85360;19900514;64,7;57,1;6,7;24;5,8;24;11,1;999,9;71.6*;59.0*;0.00I;999,9;0
85360;19900515;65,2;56,1;6,6;24;5;24;14;999,9;75.2*;55.4*;0.00I;999,9;0
85360;19900516;64,1;54,8;6,2;24;6,4;24;13;999,9;73.4*;55.4*;0.00I;999,9;0
85360;19900517;64,4;56,7;6,7;23;4,9;23;11,1;999,9;73.4*;55.4*;0.00I;999,9;0
85360;19900518;66,1;57,1;6,9;23;5,3;23;9,9;999,9;73.4*;57.2*;0.00I;999,9;0
85360;19900519;64,2;55;6,8;24;5,1;24;15;999,9;73.4*;57.2*;0.00I;999,9;0
85360;19900520;64,4;54,4;6,9;24;7,2;24;15;999,9;71.6*;57.2*;0.00I;999,9;0
85360;19900521;63,2;53,1;6,9;23;6,6;23;13;999,9;71.6*;57.2*;0.00I;999,9;0
85360;19900522;63,2;53,1;6,8;24;8,2;24;18,1;999,9;71.6*;55.4*;0.00I;999,9;0
85360;19900523;63,6;52,8;6,4;24;9,6;24;19;25,1;71.6*;57.2*;0.00I;999,9;0
85360;19900524;64,9;55,2;6,3;24;8,3;24;15,9;999,9;75.2*;59.0*;0.00I;999,9;0
85360;19900525;66,3;54,4;5,8;22;6,1;22;12;999,9;77.0*;59.0*;0.00I;999,9;0
85360;19900526;66,7;59,6;6,7;21;6,3;20;17,1;999,9;75.2*;60.8*;0.00I;999,9;0
85360;19900527;67,8;56;7;12;10,3;12;15,9;26;71.6*;60.8*;0.00I;999,9;0
85360;19900528;76,4;51;6,2;13;9,5;13;15,9;22;86.0*;69.8*;0.00I;999,9;0
85360;19900529;71,3;48,9;6;6;4,9;6;7;999,9;80.6*;60.8*;0.00I;999,9;0
85360;19900531;73,9;56,5;6,2;18;7,3;18;15;999,9;86.0*;64.4*;0.00I;999,9;0
85360;19900601;73;56,3;6,2;24;5,9;24;15,9;999,9;86.0*;62.6*;99,99;999,9;10000
85360;19900602;70,4;61;6,1;23;4,9;23;14;999,9;80.6*;62.6*;99,99;999,9;10010
85360;19900603;69,1;61,6;4,8;23;3,4;23;8,9;999,9;80.6*;62.6*;0.00I;999,9;100000
85360;19900604;67,5;59,5;5,7;23;7,2;23;15;22;77.0*;51.8*;0.00I;999,9;0
85360;19900605;64,4;51,2;6,9;12;11,9;12;18,1;26;69.8*;59.0*;0.00I;999,9;0
85360;19900609;66,8;57,5;6,2;23;7,2;10;12;999,9;73.4*;60.8*;0.00I;999,9;0
85360;19900610;65,1;58;6;24;6,2;24;11,1;999,9;69.8*;59.0*;0.00I;999,9;0
85360;19900611;68,4;58,8;4,8;24;3,2;24;9,9;999,9;77.0*;59.0*;0.00I;999,9;0
85360;19900612;67,3;59,1;4,5;24;4,4;24;9,9;999,9;75.2*;59.0*;0.00I;999,9;0
85360;19900613;66,8;58,1;5;24;5,4;24;12;999,9;75.2*;60.8*;0.00I;999,9;0
85360;19900614;65,9;56,1;5,3;24;5,2;24;9,9;999,9;73.4*;59.0*;0.00I;999,9;0
85360;19900615;65,7;56,8;4,9;24;6,4;24;17,1;999,9;75.2*;57.2*;0.00I;999,9;0
85360;19900616;66,4;55,7;6,8;24;8,1;24;13;999,9;75.2*;59.0*;0.00I;999,9;0
85360;19900617;65,7;52,9;6,7;24;7,1;24;14;999,9;73.4*;57.2*;0.00I;999,9;0
85360;19900618;67,5;56,1;6,5;24;6;24;15;999,9;78.8*;57.2*;0.00I;999,9;0
85360;19900619;68,6;59,7;6,9;24;5;24;14;999,9;77.0*;62.6*;99,99;999,9;10000
85360;19900620;67,6;56,5;6,7;24;6,8;24;12;999,9;77.0*;59.0*;0.00I;999,9;0
85360;19900621;65,2;59,7;5,9;24;5,4;24;11,1;999,9;71.6*;57.2*;99,99;999,9;10000
85360;19900622;68,1;58,3;6,5;20;8,4;20;21;999,9;77.0*;62.6*;99,99;999,9;10000
85360;19900623;71,1;59,3;6,3;24;10,4;24;22,9;33;84.2*;60.8*;0.00I;999,9;0
85360;19900624;75,6;63,2;6,2;24;8,3;24;15,9;999,9;91.4*;64.4*;0.00I;999,9;0
